Symbol , Exchange , Short Name , Market , Tradeable, Regular Market Price , Regular Market Change , Regular Market Previous Close , 50 Day Avg ,  200 Day Avg , 52 Week Low , 52 Week High 
RYCEF , PNK , ROLLS ROYCE HOLDINGS , us_market , 1 , 1.36 , 0.41 , 0.95 , 2.04 , 3.16324 , 0.88 , 9.76
EPR , NYQ , EPR Properties , us_market , 1 , 33.21 , 9.9 , 23.31 , 24.9486 , 30.1278 , 12.56 , 74.65
SABR , NMS , Sabre Corporation , us_market , 1 , 10.04 , 2.96 , 7.08 , 6.67229 , 7.33273 , 3.3 , 23.25
PK , NYQ , Park Hotels & Resorts Inc. , us_market , 1 , 14.545 , 4.245 , 10.3 , 10.2031 , 9.78014 , 3.99 , 26.58
CUK , NYQ , Carnival Plc , us_market , 1 , 16.735 , 4.815 , 11.92 , 12.348 , 13.0616 , 7.08 , 49.03
RHP , NYQ , Ryman Hospitality Properties  I , us_market , 1 , 56.9 , 16.25 , 40.65 , 39.5623 , 35.8788 , 13.25 , 91.57
OGCP , PCX , Empire State Realty OP  L.P. Se , us_market , 1 , 7.5 , 2.14 , 5.36 , 6.09914 , 6.68899 , 5.25 , 14.44
CCL , NYQ , Carnival Corporation , us_market , 1 , 19.055 , 5.235 , 13.82 , 14.4374 , 15.4937 , 7.8 , 51.94
ESBA , PCX , Empire State Realty OP  L.P. Se , us_market , 1 , 7.48 , 2.07 , 5.41 , 6.06371 , 6.70043 , 5.19 , 14.52
SLG , NYQ , SL Green Realty Corp , us_market , 1 , 60.46 , 16.64 , 43.82 , 46.7083 , 47.5789 , 35.16 , 96.39
ESRT , NYQ , Empire State Realty Trust  Inc. , us_market , 1 , 7.545 , 2.055 , 5.49 , 6.13029 , 6.74489 , 5.19 , 14.59
REG , NMS , Regency Centers Corporation , us_market , 1 , 46.3 , 12.25 , 34.05 , 37.6697 , 41.2848 , 31.8 , 65.89
NWITY , PNK , NETWORK INTL HLDGS PLC UNSPONS  , us_market , 1 , 3.655 , 0.955 , 2.7 , 3.40377 , 4.90634 , 2.54 , 8.77
CPA , NYQ , Copa Holdings  S.A. Copa Holdin , us_market , 1 , 68.785 , 17.625 , 51.16 , 51.9934 , 49.4766 , 24 , 116.88
ESYJY , PNK , EASYJET , us_market , 1 , 9.455 , 2.415 , 7.04 , 6.65143 , 7.76259 , 5 , 19.94
FRT , NYQ , Federal Realty Investment Trust , us_market , 1 , 92.345 , 23.415 , 68.93 , 74.2083 , 79.3091 , 64.11 , 133.15
KIM , NYQ , Kimco Realty Corporation , us_market , 1 , 13.63 , 3.37 , 10.26 , 11.1486 , 11.6622 , 7.45 , 21.86
FANG , NMS , Diamondback Energy  Inc. - Comm , us_market , 1 , 32.58 , 7.84 , 24.74 , 29.0206 , 38.1709 , 14.55 , 96.92
PEB , NYQ , Pebblebrook Hotel Trust , us_market , 1 , 16.365 , 3.925 , 12.44 , 12.7617 , 12.5191 , 5.39 , 27.7
RETA , NMS , Reata Pharmaceuticals  Inc. , us_market , 1 , 173.93 , 42.04 , 131.89 , 111.431 , 133.422 , 88.17 , 257.965
VLO , NYQ , Valero Energy Corporation , us_market , 1 , 50.18 , 12.01 , 38.17 , 41.5449 , 53.9341 , 31 , 101.87
AER , NYQ , AerCap Holdings N.V. , us_market , 1 , 35.39 , 8.35 , 27.04 , 26.526 , 29.1218 , 10.42 , 64.86
HST , NMS , Host Hotels & Resorts  Inc. , us_market , 1 , 13.64 , 3.155 , 10.485 , 10.9709 , 11.2838 , 7.86 , 18.9
RCL , NYQ , D/B/A Royal Caribbean Cruises L , us_market , 1 , 76.135 , 17.565 , 58.57 , 61.7909 , 55.9539 , 19.25 , 135.32
HFC , NYQ , HollyFrontier Corporation , us_market , 1 , 22.83 , 5.26 , 17.57 , 19.7377 , 26.0296 , 16.81 , 55.01
