Date, Symbol , Relationship , Reporting Owner Address , Transaction Code , Avg Price Per Share , Sum of Transaction Shares , Link to Filing Details
2020-11-10T14:39:28-05:00 , AXTI , VP  CFO & Corporate Secretary , 4281 TECHNOLOGY DR , M , 2.18 , 20000 , https://www.sec.gov/Archives/edgar/data/1257647/000117911020010957/xslF345X03/edgar.xml
2020-11-10T14:39:28-05:00 , AXTI , VP  CFO & Corporate Secretary , 4281 TECHNOLOGY DR , S , 6.87 , 20000 , https://www.sec.gov/Archives/edgar/data/1051627/000117911020010957/xslF345X03/edgar.xml
2020-11-10T14:38:59-05:00 , LFUS , Director , 8755 W. HIGGINS ROAD , M , 96.15 , 5000 , https://www.sec.gov/Archives/edgar/data/1186518/000156761920019052/xslF345X03/doc1.xml
2020-11-10T14:38:59-05:00 , LFUS , Director , 8755 W. HIGGINS ROAD , S , 215.5 , 5000 , https://www.sec.gov/Archives/edgar/data/889331/000156761920019052/xslF345X03/doc1.xml
2020-11-10T14:37:24-05:00 , AGCO , Sr VP  Chief Supply Chain Off. , AGCO CORPORATION , M , 45.23 , 20100 , https://www.sec.gov/Archives/edgar/data/1435752/000120919120057577/xslF345X03/doc4.xml
2020-11-10T14:34:36-05:00 , SSB , Director , 1101 FIRST STREET SOUTH  SUITE 202 , S , 73.05 , 10000 , https://www.sec.gov/Archives/edgar/data/1237866/000156218020006606/xslF345X03/primarydocument.xml
2020-11-10T13:08:52-05:00 , TDG , Exec. Chairman of the Board , 1301 EAST NINTH STREET , M , 592.6 , 42181 , https://www.sec.gov/Archives/edgar/data/1352573/000120919120057564/xslF345X03/doc4.xml
2020-11-10T13:08:52-05:00 , TDG , Exec. Chairman of the Board , 1301 EAST NINTH STREET , S , 588.51 , 38946 , https://www.sec.gov/Archives/edgar/data/1260221/000120919120057564/xslF345X03/doc4.xml
2020-11-10T12:15:44-05:00 , THRM , SVP Global Sales , 21680 HAGGERTY ROAD , M , 40.52 , 5000 , https://www.sec.gov/Archives/edgar/data/1759149/000120919120057562/xslF345X03/doc4.xml
2020-11-10T12:15:44-05:00 , THRM , SVP Global Sales , 21680 HAGGERTY ROAD , S , 50.24 , 5000 , https://www.sec.gov/Archives/edgar/data/903129/000120919120057562/xslF345X03/doc4.xml
2020-11-10T10:53:02-05:00 , WOR , President  Worthington Steel , 200 OLD WILSON BRIDGE ROAD , M , 42.97 , 3867 , https://www.sec.gov/Archives/edgar/data/1776278/000120919120057554/xslF345X03/doc4.xml
2020-11-10T10:53:02-05:00 , WOR , President  Worthington Steel , 200 OLD WILSON BRIDGE ROAD , S , 52.79 , 3867 , https://www.sec.gov/Archives/edgar/data/108516/000120919120057554/xslF345X03/doc4.xml
2020-11-10T09:23:35-05:00 , ADI , Director , P.O. BOX 9106 , M , 51.73 , 9660 , https://www.sec.gov/Archives/edgar/data/1224105/000000628120000150/xslF345X03/wf-form4_160501819578554.xml
2020-11-10T09:23:35-05:00 , ADI , Director , P.O. BOX 9106 , S , 140 , 9660 , https://www.sec.gov/Archives/edgar/data/6281/000000628120000150/xslF345X03/wf-form4_160501819578554.xml
