Date, Symbol , Relationship , Reporting Owner Address , Transaction Code , Avg Price Per Share , Sum of Transaction Shares , Link to Filing Details
2020-11-06T09:55:55-05:00 , VICR , VP Global Sales & Marketing , 25 FRONTAGE RD. , M , 6.29 , 10000 , https://www.sec.gov/Archives/edgar/data/1512868/000151286820000006/xslF345X03/primary_doc.xml
2020-11-06T09:55:55-05:00 , VICR , VP Global Sales & Marketing , 25 FRONTAGE RD. , S , 84.07 , 10000 , https://www.sec.gov/Archives/edgar/data/751978/000151286820000006/xslF345X03/primary_doc.xml
2020-11-05T21:50:27-05:00 , BLFS ,  ,  , S , 30.84 , 125000 , https://www.sec.gov/Archives/edgar/data/1603260/000143774920022853/xslF345X03/rdgdoc.xml
2020-11-05T21:38:04-05:00 , SGEN , Chief Medical Officer , 21823 30TH DRIVE SE , S , 177.03 , 7661 , https://www.sec.gov/Archives/edgar/data/1741836/000120331120000124/xslF345X03/edgardoc.xml
2020-11-05T21:08:40-05:00 , GWPH , Executive Chairman , SOVEREIGN HOUSE  VISION PARK  HISTON , M , 0 , 307152 , https://www.sec.gov/Archives/edgar/data/1351288/000089924320030508/xslF345X03/doc4.xml
2020-11-05T21:08:40-05:00 , GWPH , Executive Chairman , SOVEREIGN HOUSE  VISION PARK  HISTON , S , 8.5 , 307152 , https://www.sec.gov/Archives/edgar/data/941388/000089924320030508/xslF345X03/doc4.xml
2020-11-05T21:00:22-05:00 , ISDR , Director , C/O ISSUER DIRECT CORP. , M , 13 , 8000 , https://www.sec.gov/Archives/edgar/data/1323310/000165495420011912/xslF345X03/section16.xml
2020-11-05T21:00:22-05:00 , ISDR , Director , C/O ISSUER DIRECT CORP. , S , 21.57 , 4833 , https://www.sec.gov/Archives/edgar/data/843006/000165495420011912/xslF345X03/section16.xml
2020-11-05T20:44:48-05:00 , SGEN , Director , 21823 30TH DRIVE SE , M , 35.23 , 62780 , https://www.sec.gov/Archives/edgar/data/1202794/000120331120000122/xslF345X03/edgardoc.xml
2020-11-05T20:44:48-05:00 , SGEN , Director , 21823 30TH DRIVE SE , S , 168.38 , 142090 , https://www.sec.gov/Archives/edgar/data/1060736/000120331120000122/xslF345X03/edgardoc.xml
2020-11-05T20:32:32-05:00 , CASH , EVP  CFO , C/O META FINANCIAL GROUP  INC. , S , 30 , 10000 , https://www.sec.gov/Archives/edgar/data/1587724/000090747120000155/xslF345X03/wf-form4_160462633906483.xml
2020-11-05T20:26:48-05:00 , IONS , Chief Scientific Officer , 2855 GAZELLE CT. , M , 39.87 , 15000 , https://www.sec.gov/Archives/edgar/data/1073387/000087401520000144/xslF345X03/edgar.xml
2020-11-05T20:26:48-05:00 , IONS , Chief Scientific Officer , 2855 GAZELLE CT. , S , 46.77 , 15000 , https://www.sec.gov/Archives/edgar/data/874015/000087401520000144/xslF345X03/edgar.xml
2020-11-05T20:25:44-05:00 , CCEL , Chairman  Co-CEO , 700 BROOKER CREEK BLVD , P , 6.67 , 9940 , https://www.sec.gov/Archives/edgar/data/1315416/000120919120057218/xslF345X03/doc4.xml
2020-11-05T20:14:14-05:00 , ANET , Director , 5453 GREAT AMERICA PARKWAY , M , 34.12 , 3000 , https://www.sec.gov/Archives/edgar/data/1605860/000159653220000240/xslF345X03/edgardoc.xml
2020-11-05T20:14:14-05:00 , ANET , Director , 5453 GREAT AMERICA PARKWAY , S , 251.21 , 3000 , https://www.sec.gov/Archives/edgar/data/1596532/000159653220000240/xslF345X03/edgardoc.xml
2020-11-05T20:14:01-05:00 , ANET , SVP  Chief Operating Officer , 5453 GREAT AMERICA PARKWAY , M , 26.58 , 2736 , https://www.sec.gov/Archives/edgar/data/1605807/000159653220000239/xslF345X03/edgardoc.xml
2020-11-05T20:14:01-05:00 , ANET , SVP  Chief Operating Officer , 5453 GREAT AMERICA PARKWAY , S , 252.12 , 3166 , https://www.sec.gov/Archives/edgar/data/1596532/000159653220000239/xslF345X03/edgardoc.xml
2020-11-05T20:13:50-05:00 , ANET , Director , 5453 GREAT AMERICA PARKWAY , S , 253.36 , 1665 , https://www.sec.gov/Archives/edgar/data/1596532/000159653220000238/xslF345X03/edgardoc.xml
2020-11-05T20:13:38-05:00 , ANET , Senior Vice President  CFO , 5453 GREAT AMERICA PARKWAY , M , 70.61 , 10000 , https://www.sec.gov/Archives/edgar/data/1596532/000159653220000237/xslF345X03/edgardoc.xml
2020-11-05T20:13:38-05:00 , ANET , Senior Vice President  CFO , 5453 GREAT AMERICA PARKWAY , S , 251.01 , 10000 , https://www.sec.gov/Archives/edgar/data/1494211/000159653220000237/xslF345X03/edgardoc.xml
2020-11-05T19:59:54-05:00 , EVER , Chief Operating Officer , C/O EVERQUOTE  INC.  , M , 6.96 , 20000 , https://www.sec.gov/Archives/edgar/data/1744403/000089924320030503/xslF345X03/doc4.xml
2020-11-05T19:59:54-05:00 , EVER , Chief Operating Officer , C/O EVERQUOTE  INC.  , S , 36.48 , 20000 , https://www.sec.gov/Archives/edgar/data/1640428/000089924320030503/xslF345X03/doc4.xml
2020-11-05T19:57:54-05:00 , DECK , Chief Financial Officer , 250 COROMAR DRIVE , S , 254.26 , 2000 , https://www.sec.gov/Archives/edgar/data/1745370/000159396820002148/xslF345X03/primary_01.xml
2020-11-05T19:53:36-05:00 , HCA , CFO and EVP , ONE PARK PLAZA , M , 25.9 , 77825 , https://www.sec.gov/Archives/edgar/data/1216850/000120919120057213/xslF345X03/doc4.xml
2020-11-05T19:53:36-05:00 , HCA , CFO and EVP , ONE PARK PLAZA , S , 139.33 , 36250 , https://www.sec.gov/Archives/edgar/data/860730/000120919120057213/xslF345X03/doc4.xml
2020-11-05T19:52:56-05:00 , HCA , CEO , ONE PARK PLAZA , M , 24.18 , 557125 , https://www.sec.gov/Archives/edgar/data/1216838/000120919120057212/xslF345X03/doc4.xml
2020-11-05T19:52:56-05:00 , HCA , CEO , ONE PARK PLAZA , S , 135.85 , 121875 , https://www.sec.gov/Archives/edgar/data/860730/000120919120057212/xslF345X03/doc4.xml
